Video_ID,Creator name,Video_URL,Headline,Article,Article_Thumbnail,Category,Creator_Profile_Picture,Creator_Banner,Creator_Followers,Creator_Posts,Creator_Likes,Likes,Shares,Publish_Date,Creator_Name
V1 ,Dylan Page,Dylan Page Tech,Apple's iOS 26 'Liquid Glass' Design: Revolutionary or Just Hype?,"Apple has unveiled its most dramatic iOS redesign since iOS 7 with the introduction of iOS 26, featuring the new ""Liquid Glass"" aesthetic that makes app interfaces appear transparent and fluid. The update, announced at WWDC 2025, introduces a completely new visual language across Apple's ecosystem, affecting iPhone, iPad, Mac, and Apple Watch interfaces.

The ""Liquid Glass"" design creates semi-transparent app interfaces that blend with background elements, giving users a more immersive visual experience. However, the announcement has sparked mixed reactions from the tech community, with some users expressing concerns about storage requirements, battery life impact, and the practicality of transparent interfaces.

Critics argue that Apple is following features already available on Android devices, questioning the innovation behind the ""Liquid Glass"" branding. Others worry about the visual clarity and usability of transparent apps, particularly for users who prefer traditional, solid interface designs.

Despite the controversy, some industry observers believe iOS 26 could be game-changing for Apple's competitive position, potentially convincing users considering switches to Samsung or other Android manufacturers to stay within the Apple ecosystem.

The update represents Apple's continued push toward more sophisticated visual design, though whether users will embrace the dramatic change remains to be seen when iOS 26 launches.",DP AC TH,Tech,DP PFP,DP BN,15.7M,6,7.7M,994K,90K,2025-06-11,
V2,Dylan Page,Dylan Page Sports,"""Enhanced Games Offer $1 Million Prizes for Performance-Enhanced Athletes""

","The controversial Enhanced Games have announced their first official competition scheduled for Las Vegas in May 2026, featuring athletes who are permitted and encouraged to use performance-enhancing substances. The event has generated significant debate in the sports world, with critics arguing it undermines traditional athletic competition while supporters claim it represents the future of human performance.

Greek-Bulgarian swimmer Kristian Gkolomeev recently broke the 50-meter freestyle world record at an Enhanced Games event, completing the distance in 20.89 seconds and earning $1 million for his achievement. The previous record of 20.91 seconds was held by Brazil's Cesar Cielo since 2009, making this a historic moment in competitive swimming.

The Enhanced Games operate under fundamentally different principles than traditional Olympic competition, explicitly allowing athletes to use performance-enhancing drugs under medical supervision. Organizers argue this approach provides a safer, more transparent alternative to current elite sports where doping often occurs in secret and without proper medical oversight.

However, the concept faces fierce opposition from traditional sports organizations and Olympic committees, who maintain that allowing performance enhancement fundamentally changes the nature of athletic competition. Critics worry about long-term health consequences for athletes and the message sent to young competitors about fair play and natural human achievement.

",https://drive.google.com/file/d/16s8qSHMQ265pVbnfT7TR2Ng2ZxU8t7tV/view?usp=drive_link,Sports,DP PFP,DP BN,15.7M,6,7.7M,2.5M,78K,2025-05-27,
V3,Dylan Page,Dylan Page Entertainment,World's Most-Followed TikToker Khaby Lame Detained and Deported by ICE,"Khaby Lame, the world's most-followed TikTok star with over 162 million followers, was detained by U.S. Immigration and Customs Enforcement (ICE) at Las Vegas's Harry Reid International Airport on June 6, 2025. The 25-year-old Italian citizen, whose real name is Seringe Khabane Lame, was arrested for immigration violations after overstaying his temporary visa.

ICE officials confirmed that Lame had entered the United States on April 30 for participation in the Met Gala in early May but remained in the country beyond his visa's permitted duration. The detention sparked widespread discussion across social media platforms, with many questioning the enforcement actions under the current administration's intensified deportation policies.

Lame was subsequently granted ""voluntary departure"" and has since left the United States. The incident has reignited debates about immigration enforcement and the treatment of high-profile international visitors. Despite his massive global following and cultural influence, Lame received no special treatment under immigration law, highlighting the strict enforcement of visa regulations regardless of celebrity status.

The TikTok star has not made an official public statement regarding the detention, though recent social media activity suggests he has relocated to other countries following his departure from the U.S..",https://drive.google.com/file/d/1LxJIZOY3lQbAZ01NSwIl6W516NuE6Nnu/view?usp=drive_link,Entertainment,DP PFP,DP BN,15.7M,6,7.7M,1.5M,60K,2025-06-04,
V4,Dylan Page,Dylan page Business,Creator Tests Instagram Reels as TikTok Alternative Amid Platform Uncertainty,"Content creators are increasingly exploring alternative platforms as concerns about TikTok's future continue to mount, with Instagram Reels emerging as a primary alternative for short-form video content. The shift represents a broader trend of diversification among social media influencers seeking to protect their audiences and income streams.

Instagram Reels offers similar functionality to TikTok, including short-form vertical videos, music integration, and algorithm-driven discovery features. However, creators report significant differences in audience engagement patterns, with Instagram's user base showing different preferences for content types and interaction styles compared to TikTok users.

The exploration of alternatives has intensified following ongoing political discussions about potential platform restrictions and data privacy concerns. Many creators are proactively building audiences across multiple platforms to ensure continuity of their content and business relationships regardless of regulatory changes.

Early adopters testing Instagram Reels report mixed results, with some finding success in cross-posting content while others struggle to replicate the viral potential they experienced on TikTok. The platform's integration with Instagram's existing photo-sharing ecosystem provides advantages for established users but may present challenges for creators accustomed to TikTok's unique culture and algorithm behavior.",https://drive.google.com/file/d/1lSp5p8IClYKQaDef3YMRcHfHW9cZ7mPX/view?usp=drive_link,Business,DP PFP,DP BN,15.7M,6,7.7M,804K,190K,2025-05-16,
V5,Dylan Page,Dylan Page health,Former President Biden Diagnosed with Aggressive Prostate Cancer,"Former President Joe Biden has been diagnosed with an aggressive form of prostate cancer that has spread to his bones, according to a statement released by his personal office. The 82-year-old former president and his family are currently reviewing treatment options with his medical team.

Medical experts expressed concern about the advanced stage of the diagnosis, noting that only approximately 7% of prostate cancers are detected at this late stage. Dr. Zeke Emanuel, a former Obama health advisor, suggested the cancer may have been developing undetected for years, possibly up to a decade, raising questions about earlier screening protocols.

Despite the serious nature of the diagnosis, doctors remain cautiously optimistic about treatment prospects. The cancer has been identified as hormone-sensitive, which typically responds well to targeted therapies, and medical professionals believe there is potential for the tumor to shrink with appropriate treatment.

Current President Donald Trump issued a statement expressing sadness about his former political rival's diagnosis and sending warm wishes to the Biden family. The bipartisan response reflects the gravity of the health situation and the respect accorded to former presidents regardless of political differences.

Biden's medical team is expected to provide regular updates on his condition and treatment progress as he begins what is likely to be an extended period of medical care",https://drive.google.com/file/d/11Nt8legjc4kkfggg-jz31Wk9tVsFUVce/view?usp=drive_link,Health,DP PFP,DP BN,15.7M,6,7.7M,1.3M,200K,2025-05-28,
V6,Dylan Page,https://drive.google.com/file/d/1pfRwjLj8Zhjp6sskajxzR1cPiJAfVU6S/view?usp=drive_link,Swiss Village of Blatten Buried as Alpine Glacier Collapses,"The Swiss village of Blatten was devastated when a massive section of the Birch Glacier collapsed, burying approximately 90% of the mountain community under tons of ice, mud, and debris. The disaster, which occurred after days of alarming ground shifts, forced the evacuation of over 300 residents and dozens of animals from the picturesque Alpine village.

Scientists and geologists had been monitoring unstable conditions for days before the collapse, issuing warnings that allowed authorities to execute a comprehensive evacuation plan. The successful evacuation prevented what could have been a catastrophic loss of life, though one person remains missing following the incident.

The collapse of the Birch Glacier created a new lake formation and raised concerns about additional flooding as water levels continue to rise. The disaster highlights the increasing frequency of extreme weather events and geological instability in Alpine regions, which many experts attribute to climate change and rising global temperatures.

Swiss authorities praised the coordination between scientists, emergency services, and local officials that enabled the life-saving evacuation. The incident has sparked renewed discussions about climate crisis preparedness and the need for early warning systems in mountainous regions experiencing rapid environmental changes.

Local mayor Matthias Bellwald expressed both grief and determination, stating ""We lost our village, but we will rebuild it"". The community now faces the challenge of relocating while planning for potential reconstruction in the aftermath of this unprecedented natural disaster.",https://drive.google.com/file/d/1sPbqps7dux3XJp76wpKeEooYa9LWJEG2/view?usp=drive_link,Science,DP PFP,DP BN,15.7M,6,7.7M,634K,98K,2025-06-07,
V7,Vice News,https://drive.google.com/file/d/video_7/view?usp=sharing,5G Network Expansion Across ASEAN,"Cambodia joins regional 5G deployment initiative, promising faster internet speeds and improved connectivity for rural areas. The project aims to bridge the digital divide nationwide.",https://drive.google.com/file/d/article_thumb_7/view?usp=sharing,Tech,https://drive.google.com/file/d/creator_creator2_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator2_banner/view?usp=sharing,150895,296,3503192,2765,91,2025-05-19,
V8,Vice News,https://drive.google.com/file/d/video_8/view?usp=sharing,Olympic Training Center Opens,"Cambodia's new Olympic training center officially opens, providing world-class facilities for athletes preparing for international competitions.",https://drive.google.com/file/d/article_thumb_8/view?usp=sharing,Sports,https://drive.google.com/file/d/creator_creator2_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator2_banner/view?usp=sharing,181764,208,2745593,4362,252,2025-05-17,
V9,Vice News,https://drive.google.com/file/d/video_9/view?usp=sharing,Music Festival Draws Crowds,"Music festival brings together traditional and contemporary artists, celebrating Cambodia's rich musical heritage and modern creativity.",https://drive.google.com/file/d/article_thumb_9/view?usp=sharing,Entertainment,https://drive.google.com/file/d/creator_creator2_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator2_banner/view?usp=sharing,196843,400,1571758,3239,166,2025-06-10,
V10,Vice News,https://drive.google.com/file/d/video_10/view?usp=sharing,Investment in Manufacturing,Foreign investment in manufacturing sector creates new job opportunities and strengthens Cambodia's position in regional supply chains.,https://drive.google.com/file/d/article_thumb_10/view?usp=sharing,Business,https://drive.google.com/file/d/creator_creator2_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator2_banner/view?usp=sharing,147420,237,1520967,2352,199,2025-05-19,
